,index,bvd_id_number,country_code,industry_code,size_class,status_year,status_date_latest,status_latest,default_indicator,fixed_assets_0,fixed_assets_1,fixed_assets_2,fixed_assets_3,intangible_fixed_assets_0,intangible_fixed_assets_1,intangible_fixed_assets_2,intangible_fixed_assets_3,tangible_fixed_assets_0,tangible_fixed_assets_1,tangible_fixed_assets_2,tangible_fixed_assets_3,other_fixed_assets_0,other_fixed_assets_1,other_fixed_assets_2,other_fixed_assets_3,current_assets_0,current_assets_1,current_assets_2,current_assets_3,stock_0,stock_1,stock_2,stock_3,debtors_0,debtors_1,debtors_2,debtors_3,other_current_assets_0,other_current_assets_1,other_current_assets_2,other_current_assets_3,cash_cash_equivalent_0,cash_cash_equivalent_1,cash_cash_equivalent_2,cash_cash_equivalent_3,total_assets_0,total_assets_1,total_assets_2,total_assets_3,shareholders_funds_0,shareholders_funds_1,shareholders_funds_2,shareholders_funds_3,capital_0,capital_1,capital_2,capital_3,other_shareholders_funds_0,other_shareholders_funds_1,other_shareholders_funds_2,other_shareholders_funds_3,noncurrent_liabilities_0,noncurrent_liabilities_1,noncurrent_liabilities_2,noncurrent_liabilities_3,long_term_debt_0,long_term_debt_1,long_term_debt_2,long_term_debt_3,other_noncurrent_liabilities_0,other_noncurrent_liabilities_1,other_noncurrent_liabilities_2,other_noncurrent_liabilities_3,provisions_0,provisions_1,provisions_2,provisions_3,current_liabilities_0,current_liabilities_1,current_liabilities_2,current_liabilities_3,loans_0,loans_1,loans_2,loans_3,creditors_0,creditors_1,creditors_2,creditors_3,other_current_liabilities_0,other_current_liabilities_1,other_current_liabilities_2,other_current_liabilities_3,total_shareh_funds_liab_0,total_shareh_funds_liab_1,total_shareh_funds_liab_2,total_shareh_funds_liab_3,working_capital_0,working_capital_1,working_capital_2,working_capital_3,net_current_assets_0,net_current_assets_1,net_current_assets_2,net_current_assets_3,enterprise_value_0,enterprise_value_1,enterprise_value_2,enterprise_value_3,number_of_employees_0,number_of_employees_1,number_of_employees_2,number_of_employees_3,operating_revenue_0,operating_revenue_1,operating_revenue_2,operating_revenue_3,sales_0,sales_1,sales_2,sales_3,costs_of_goods_sold_0,costs_of_goods_sold_1,costs_of_goods_sold_2,costs_of_goods_sold_3,gross_profit_0,gross_profit_1,gross_profit_2,gross_profit_3,other_operating_expenses_0,other_operating_expenses_1,other_operating_expenses_2,other_operating_expenses_3,operating_pl_ebit_0,operating_pl_ebit_1,operating_pl_ebit_2,operating_pl_ebit_3,financial_revenue_0,financial_revenue_1,financial_revenue_2,financial_revenue_3,financial_expenses_0,financial_expenses_1,financial_expenses_2,financial_expenses_3,financial_pl_0,financial_pl_1,financial_pl_2,financial_pl_3,pl_before_tax_0,pl_before_tax_1,pl_before_tax_2,pl_before_tax_3,taxation_0,taxation_1,taxation_2,taxation_3,pl_after_tax_0,pl_after_tax_1,pl_after_tax_2,pl_after_tax_3,extr_and_other_revenue_0,extr_and_other_revenue_1,extr_and_other_revenue_2,extr_and_other_revenue_3,extr_and_other_expenses_0,extr_and_other_expenses_1,extr_and_other_expenses_2,extr_and_other_expenses_3,extr_and_other_pl_0,extr_and_other_pl_1,extr_and_other_pl_2,extr_and_other_pl_3,pl_for_period_net_income_0,pl_for_period_net_income_1,pl_for_period_net_income_2,pl_for_period_net_income_3,export_revenue_0,export_revenue_1,export_revenue_2,export_revenue_3,material_costs_0,material_costs_1,material_costs_2,material_costs_3,costs_of_employees_0,costs_of_employees_1,costs_of_employees_2,costs_of_employees_3,depreciation_amortization_0,depreciation_amortization_1,depreciation_amortization_2,depreciation_amortization_3,interest_paid_0,interest_paid_1,interest_paid_2,interest_paid_3,research_development_expenses_0,research_development_expenses_1,research_development_expenses_2,research_development_expenses_3,cash_flow_0,cash_flow_1,cash_flow_2,cash_flow_3,added_value_0,added_value_1,added_value_2,added_value_3,ebitda_0,ebitda_1,ebitda_2,ebitda_3
1,409479565,RU78171352,RU,G,SME,2011,16991231,non_default,0,3193.0,5080.0,7299.0,10761.0,0.0,0.0,0.0,0.0,3193.0,5080.0,7299.0,10761.0,0.0,0.0,0.0,0.0,1202275.0,970017.0,904939.0,1011233.0,1045692.0,836576.0,722197.0,581652.0,146261.0,26408.0,176705.0,414198.0,10322.0,107032.0,6036.0,15383.0,9722.0,42042.0,298.0,9318.0,1205467.0,975097.0,912237.0,1021994.0,181836.0,123918.0,150494.0,115117.0,240.0,245.0,230.0,245.0,181595.0,123673.0,150265.0,114873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023632.0,851179.0,761743.0,906877.0,0.0,0.0,0.0,0.0,1023632.0,803713.0,752838.0,895064.0,0.0,47466.0,8905.0,11813.0,1205467.0,975097.0,912237.0,1021994.0,168321.0,59272.0,146064.0,100786.0,178643.0,118838.0,143195.0,104357.0,,,,,223.0,212.0,223.0,220.0,9565340.0,6749130.0,7440313.0,11460996.0,,,,,9314803.0,6566456.0,7212518.0,11072477.0,250537.0,182674.0,227795.0,388518.0,157087.0,170133.0,173446.0,306760.0,93450.0,12542.0,54350.0,81759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93450.0,12542.0,54350.0,81759.0,18508.0,2602.0,11109.0,21057.0,74943.0,9940.0,43241.0,60701.0,48.0,74.0,0.0,4696.0,6145.0,1620.0,780.0,6554.0,-6097.0,-1546.0,-780.0,-1859.0,68845.0,8394.0,42461.0,58843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,409936846,RU79023978,RU,G,SME,2013,16991231,non_default,1,18743.0,548763.0,0.0,21721.0,0.0,0.0,0.0,0.0,18632.0,548763.0,0.0,49.0,111.0,0.0,0.0,21672.0,1363011.0,9511740.0,8733145.0,9526918.0,35824.0,952394.0,892350.0,192295.0,508675.0,6289031.0,4273938.0,1463652.0,818511.0,2270315.0,3566856.0,7870971.0,332.0,392327.0,5929.0,22113.0,1381754.0,10060503.0,8733145.0,9548639.0,301705.0,319486.0,288656.0,283105.0,222.0,250.0,240.0,245.0,301483.0,319236.0,288416.0,282859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080049.0,9741017.0,8444489.0,9265534.0,360570.0,5044625.0,3265021.0,6135357.0,719479.0,4696392.0,5179467.0,1514923.0,0.0,0.0,0.0,1615255.0,1381754.0,10060503.0,8733145.0,9548639.0,-174979.0,2545033.0,-13179.0,141025.0,282962.0,-229277.0,288656.0,261384.0,,,,,96.0,85.0,96.0,107.0,7540227.0,6161741.0,8652825.0,11077698.0,,,,,6749232.0,6073453.0,8643104.0,11048320.0,790995.0,88287.0,9722.0,29378.0,695662.0,112518.0,20068.0,8320.0,95332.0,-24230.0,-10346.0,21058.0,222413.0,204997.0,270893.0,249112.0,362387.0,326723.0,558205.0,549814.0,-139974.0,-121726.0,-287312.0,-300702.0,-44642.0,-145956.0,-297658.0,-279644.0,13027.0,6263.0,24149.0,3534.0,-57669.0,-152219.0,-321807.0,-283178.0,8863780.0,6891495.0,6856075.0,17167504.0,8788077.0,6719862.0,6543702.0,16870188.0,75703.0,171634.0,312373.0,297315.0,18034.0,19414.0,-9434.0,14137.0,,,,,,,,,,,,,,,,,362387.0,326723.0,558205.0,549814.0,,,,,,,,,,,,,,,,
3,409872267,RU79859926,RU,F,SME,2013,16991231,non_default,0,1328937.0,649378.0,178523.0,222704.0,0.0,0.0,0.0,0.0,403174.0,274369.0,147845.0,222704.0,925763.0,375009.0,30678.0,0.0,10021349.0,9093311.0,5259811.0,1545184.0,1980821.0,4142887.0,1164779.0,495893.0,7832361.0,4851905.0,1349543.0,783637.0,208167.0,98518.0,2745488.0,265654.0,5938.0,27025.0,75927.0,10431.0,11350285.0,9742689.0,5438334.0,1767888.0,-2783934.0,352924.0,651703.0,816941.0,121852.0,137247.0,132026.0,134987.0,-2905786.0,215677.0,519677.0,681954.0,343445.0,387561.0,77535.0,23144.0,0.0,0.0,0.0,0.0,343445.0,387561.0,77535.0,23144.0,0.0,0.0,50050.0,,13790775.0,9002204.0,4709095.0,927803.0,0.0,1411747.0,1044204.0,0.0,13437383.0,7237682.0,3664892.0,597894.0,353392.0,352775.0,0.0,329908.0,11350285.0,9742689.0,5438334.0,1767888.0,-3624202.0,1757111.0,-1150569.0,681635.0,-3769427.0,91107.0,550716.0,617382.0,,,,,255.0,264.0,253.0,264.0,5966745.0,7307079.0,5047394.0,6275743.0,,,,,7082352.0,6596639.0,4985845.0,5419950.0,-1115608.0,710440.0,61548.0,855793.0,1086230.0,889560.0,0.0,0.0,-2201838.0,-179120.0,61548.0,855793.0,2215.0,1397.0,1248.0,0.0,354.0,0.0,0.0,0.0,1861.0,1397.0,1248.0,0.0,-2199977.0,-177722.0,62796.0,855793.0,-572260.0,-16020.0,19900.0,167826.0,-1627717.0,-161702.0,42896.0,687968.0,36644.0,269104.0,62100.0,18505.0,1393895.0,270801.0,99547.0,41502.0,-1357251.0,-1697.0,-37447.0,-22997.0,-2984968.0,-163399.0,5449.0,664971.0,,,,,,,,,,,,,,,,,354.0,,,,,,,,,,,,,,,,,,,
4,440112490,RU89954117,RU,G,SME,2014,16991231,non_default,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2926621.0,5537694.0,2492630.0,1555288.0,2908700.0,5521499.0,2484095.0,1551711.0,0.0,0.0,0.0,0.0,17920.0,16195.0,8534.0,3577.0,17920.0,16195.0,8534.0,3577.0,2926621.0,5537694.0,2492630.0,1555288.0,1122858.0,1195587.0,1026009.0,698200.0,146.0,222.0,250.0,240.0,1122712.0,1195365.0,1025759.0,697960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803762.0,4342107.0,1466621.0,857087.0,0.0,0.0,0.0,0.0,1803762.0,4342107.0,1466621.0,857087.0,0.0,0.0,0.0,0.0,2926621.0,5537694.0,2492630.0,1555288.0,1104938.0,1179391.0,1017474.0,694624.0,1122858.0,1195587.0,1026009.0,698200.0,,,,,30.0,23.0,18.0,18.0,5851323.0,7711417.0,8012878.0,7773702.0,,,,,5244838.0,7041588.0,7021106.0,6944148.0,606486.0,669830.0,991772.0,829554.0,371651.0,407206.0,722069.0,640109.0,234835.0,262624.0,269703.0,189445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234835.0,262624.0,269703.0,189445.0,81138.0,119791.0,102586.0,43977.0,153697.0,142832.0,167117.0,145468.0,107813.0,220751.0,208017.0,88217.0,70641.0,78916.0,74937.0,3841.0,37172.0,141835.0,133080.0,84376.0,190869.0,284668.0,300197.0,229845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,448629119,ESF34251967,ES,A,SME,2021,20140104,non_default,0,1543.0,2246.0,52258.0,69288.0,0.0,0.0,0.0,0.0,0.0,0.0,19750.0,36742.0,1543.0,2246.0,32508.0,32546.0,2774780.0,2334663.0,2602925.0,2475637.0,,,,449639.0,2774780.0,2334663.0,2602925.0,2025133.0,,,,866.0,,,,866.0,2776324.0,2336909.0,2655183.0,2544925.0,21669.0,21506.0,21388.0,19824.0,9400.0,9400.0,9400.0,9400.0,12269.0,12106.0,11988.0,10424.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2754654.0,2315403.0,2633795.0,2525101.0,0.0,119618.0,101705.0,198409.0,2632566.0,2041.0,2026.0,15060.0,122088.0,2193743.0,2530064.0,2311633.0,2776324.0,2336909.0,2655183.0,2544925.0,142214.0,2332621.0,2600900.0,2459712.0,,,,,,,,,1.0,1.0,,,8113998.0,8654682.0,11742144.0,10720788.0,8113998.0,8654682.0,11655144.0,10655885.0,,,,,,,,,,,,,1086.0,430.0,2504.0,-20011.0,164.0,387.0,,23500.0,1078.0,456.0,959.0,1640.0,-914.0,-69.0,-959.0,21860.0,171.0,361.0,1544.0,1849.0,17.0,262.0,62.0,54.0,154.0,99.0,1483.0,1794.0,,,,,,,,,,,,,154.0,99.0,1483.0,1794.0,,,,,7839497.0,8456265.0,11153948.0,10467189.0,33073.0,28183.0,,,,11282.0,16992.0,19016.0,1078.0,456.0,959.0,1640.0,,,,,154.0,11381.0,18475.0,20811.0,34323.0,40281.0,19495.0,22505.0,1086.0,11712.0,19495.0,-995.0
6,459127459,RU37361968,RU,N,SME,2016,16991231,non_default,0,443708.0,431583.0,587497.0,391277.0,0.0,0.0,0.0,0.0,443708.0,431230.0,586560.0,389305.0,0.0,365.0,937.0,1972.0,986215.0,1391211.0,1501346.0,1327386.0,171509.0,982389.0,1008076.0,763567.0,814127.0,368935.0,470153.0,536679.0,579.0,39888.0,23117.0,27140.0,391.0,4184.0,6515.0,26674.0,1429907.0,1822795.0,2088843.0,1718663.0,124307.0,113072.0,111195.0,86537.0,156.0,126.0,146.0,222.0,124151.0,112946.0,111049.0,86315.0,9290.0,8608.0,12283.0,5849.0,0.0,0.0,0.0,0.0,9290.0,8608.0,12283.0,5849.0,0.0,0.0,0.0,0.0,1296326.0,1701115.0,1965365.0,1626277.0,0.0,0.0,0.0,0.0,1296326.0,1701115.0,1965365.0,1626277.0,0.0,0.0,0.0,0.0,1429907.0,1822795.0,2088843.0,1718663.0,-310690.0,-349791.0,-487136.0,-326031.0,-310111.0,-309903.0,-464018.0,-298891.0,,,,,53.0,66.0,57.0,46.0,9478246.0,12637051.0,13663780.0,9720154.0,,,,,9376147.0,12535346.0,13464156.0,9512873.0,102098.0,101705.0,199624.0,207281.0,114861.0,76197.0,109292.0,107429.0,-12762.0,25508.0,90332.0,99852.0,0.0,0.0,1801.0,3279.0,0.0,0.0,0.0,0.0,0.0,0.0,1801.0,3279.0,-12762.0,25508.0,92133.0,103131.0,-422.0,4877.0,13557.0,20670.0,-12340.0,20631.0,78576.0,82460.0,87616.0,52339.0,71402.0,21490.0,91275.0,55616.0,95954.0,21778.0,-3660.0,-3277.0,-24552.0,-288.0,-16000.0,17354.0,54024.0,82172.0,,,,,,,,,,,,,,,,,,,,,,,,,-4801.0,-1424.0,-13030.0,19740.0,,,,,,,,
7,448938189,RU75976188,RU,G,SME,2015,16991231,non_default,0,163345.0,238627.0,225625.0,109199.0,0.0,0.0,0.0,0.0,111547.0,191923.0,138113.0,21011.0,51798.0,46703.0,87512.0,88187.0,15918154.0,15865956.0,27112798.0,24297582.0,12899151.0,11856914.0,16358235.0,12408874.0,2596910.0,3927830.0,10673632.0,11514148.0,422093.0,81211.0,80932.0,374559.0,5558.0,30599.0,39148.0,115737.0,16081499.0,16104582.0,27338424.0,24406780.0,606661.0,649397.0,832291.0,774572.0,126028.0,146406.0,221549.0,249540.0,480633.0,502991.0,610743.0,525032.0,654401.0,2415694.0,5139704.0,4491719.0,654401.0,2415694.0,5139704.0,4491719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14820437.0,13039491.0,21366428.0,19140488.0,2873.0,859841.0,9792.0,3049703.0,14817564.0,12179651.0,21356636.0,16090786.0,0.0,0.0,0.0,0.0,16081499.0,16104582.0,27338424.0,24406780.0,678497.0,3605094.0,5675231.0,7832236.0,1097717.0,2826464.0,5746371.0,5157093.0,,,,,93.0,102.0,93.0,104.0,8742972.0,10491652.0,14993208.0,20263368.0,,,,,7583728.0,8165690.0,12560694.0,17851540.0,1159244.0,2325962.0,2432514.0,2411829.0,764965.0,1406344.0,1552169.0,1488107.0,394279.0,919618.0,880345.0,923722.0,0.0,600.0,1950.0,349.0,291490.0,515202.0,550504.0,341296.0,-291490.0,-514601.0,-548554.0,-340946.0,102789.0,405017.0,331791.0,582776.0,11910.0,24845.0,23152.0,-14698.0,90879.0,380172.0,308639.0,597474.0,229825.0,195744.0,434767.0,711588.0,273052.0,476521.0,598801.0,1054531.0,-43228.0,-280777.0,-164035.0,-342943.0,47651.0,99395.0,144605.0,254531.0,,,,,,,,,,,,,,,,,291490.0,515202.0,550504.0,341296.0,,,,,2363934.0,295125.0,1730338.0,-16982892.0,,,,,,,,
8,459151944,RU37423847,RU,GX,SME,2015,16991231,non_default,0,52276.0,7496.0,85163.0,0.0,0.0,0.0,0.0,0.0,33801.0,7496.0,65379.0,0.0,18488.0,0.0,19784.0,0.0,4426737.0,4923711.0,27662904.0,4366575.0,13.0,9926.0,1934052.0,0.0,4386156.0,4839177.0,11044770.0,3256072.0,40556.0,74608.0,14684081.0,1110503.0,38628.0,25475.0,12523075.0,1108082.0,4479013.0,4931207.0,27748068.0,4366575.0,1991244.0,3086364.0,3067251.0,652971.0,252.0,293.0,443.0,499.0,1990992.0,3086071.0,3066808.0,652472.0,0.0,0.0,9948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9948.0,0.0,0.0,0.0,0.0,0.0,2487769.0,1844829.0,24670890.0,3713604.0,0.0,258347.0,15425205.0,1188259.0,2467995.0,1557449.0,9213982.0,2525344.0,19774.0,29032.0,31704.0,0.0,4479013.0,4931207.0,27748068.0,4366575.0,1918173.0,3291654.0,3764841.0,730728.0,1938967.0,3078882.0,2992013.0,652971.0,,,,,56.0,67.0,84.0,59.0,8191788.0,13233684.0,50061330.0,8821637.0,,,,,6634282.0,8637628.0,30045370.0,6787238.0,1557506.0,4596055.0,20015956.0,2034400.0,1145028.0,2181606.0,16441072.0,1210419.0,412477.0,2414449.0,3574885.0,823981.0,116904.0,125206.0,18322.0,0.0,3680.0,97272.0,309880.0,4192.0,113224.0,27934.0,-291558.0,-4192.0,525701.0,2442384.0,3283327.0,819789.0,99575.0,471368.0,621067.0,163524.0,426126.0,1971016.0,2662260.0,656265.0,1209592.0,145849.0,6779.0,0.0,1252215.0,249461.0,188161.0,3768.0,-42623.0,-103611.0,-181382.0,-3768.0,383503.0,1867405.0,2480878.0,652497.0,,,,,,,,,,,,,,,,,3680.0,97272.0,309880.0,4192.0,,,,,1108241.0,2154199.0,-1853298.0,,,,,,,,,
9,7000375,IT00174710145,IT,C,SME,2006,16991231,non_default,0,1384038.0,1067546.0,1093528.0,950419.0,819427.0,651498.0,672129.0,700478.0,559611.0,411048.0,416399.0,244941.0,5000.0,5000.0,5000.0,5000.0,1744301.0,1010980.0,1269786.0,1445104.0,269078.0,135956.0,140934.0,137782.0,398247.0,407318.0,0.0,0.0,1076976.0,467706.0,1128852.0,1307322.0,924514.0,434899.0,675849.0,817900.0,3128339.0,2078526.0,2363314.0,2395523.0,892437.0,831825.0,721550.0,618772.0,10400.0,10400.0,10400.0,10400.0,882037.0,821425.0,711150.0,608372.0,150886.0,134564.0,123308.0,113892.0,0.0,0.0,0.0,0.0,150886.0,134564.0,123308.0,113892.0,0.0,0.0,0.0,0.0,2085016.0,1112137.0,1518456.0,1662859.0,0.0,0.0,0.0,0.0,1957613.0,996747.0,0.0,0.0,127403.0,115390.0,1518456.0,1662859.0,3128339.0,2078526.0,2363314.0,2395523.0,-1290288.0,-453473.0,140934.0,137782.0,-340715.0,-101157.0,-248670.0,-217755.0,,,,,16.0,18.0,18.0,18.0,7153464.0,6622374.0,6515973.0,6147198.0,7044813.0,6518318.0,6404842.0,6038530.0,,,,,,,,,,,,,157932.0,213750.0,202993.0,146360.0,12411.0,8357.0,8660.0,12910.0,10463.0,8737.0,7114.0,7183.0,1948.0,-380.0,1547.0,5727.0,159880.0,213370.0,204539.0,152087.0,99269.0,103094.0,101762.0,32435.0,60611.0,110276.0,102777.0,119652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60611.0,110276.0,102777.0,119652.0,,,,,5502125.0,5191586.0,5207861.0,4798875.0,507938.0,502907.0,460000.0,440548.0,136504.0,109947.0,160501.0,167223.0,10463.0,8737.0,7114.0,7183.0,,,,,197115.0,220223.0,263278.0,286875.0,814785.0,834961.0,832154.0,767041.0,294436.0,323697.0,363494.0,313583.0
10,7000376,IT00174710145,IT,C,SME,2005,16991231,non_default,0,1067546.0,1093528.0,950419.0,688927.0,651498.0,672129.0,700478.0,467160.0,411048.0,416399.0,244941.0,221767.0,5000.0,5000.0,5000.0,0.0,1010980.0,1269786.0,1445104.0,1931771.0,135956.0,140934.0,137782.0,236723.0,407318.0,0.0,0.0,0.0,467706.0,1128852.0,1307322.0,1695048.0,434899.0,675849.0,817900.0,1115071.0,2078526.0,2363314.0,2395523.0,2620698.0,831825.0,721550.0,618772.0,499120.0,10400.0,10400.0,10400.0,10400.0,821425.0,711150.0,608372.0,488720.0,134564.0,123308.0,113892.0,113958.0,0.0,0.0,0.0,0.0,134564.0,123308.0,113892.0,113958.0,0.0,0.0,0.0,0.0,1112137.0,1518456.0,1662859.0,2007620.0,0.0,0.0,0.0,0.0,996747.0,0.0,0.0,0.0,115390.0,1518456.0,1662859.0,2007620.0,2078526.0,2363314.0,2395523.0,2620698.0,-453473.0,140934.0,137782.0,236723.0,-101157.0,-248670.0,-217755.0,-75849.0,,,,,18.0,18.0,18.0,17.0,6622374.0,6515973.0,6147198.0,5624460.0,6518318.0,6404842.0,6038530.0,5571186.0,,,,,,,,,,,,,213750.0,202993.0,146360.0,211283.0,8357.0,8660.0,12910.0,20663.0,8737.0,7114.0,7183.0,6948.0,-380.0,1547.0,5727.0,13715.0,213370.0,204539.0,152087.0,224998.0,103094.0,101762.0,32435.0,26585.0,110276.0,102777.0,119652.0,198413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110276.0,102777.0,119652.0,198413.0,,,,,5191586.0,5207861.0,4798875.0,4509138.0,502907.0,460000.0,440548.0,421953.0,109947.0,160501.0,167223.0,92830.0,8737.0,7114.0,7183.0,6948.0,,,,,220223.0,263278.0,286875.0,291243.0,834961.0,832154.0,767041.0,746729.0,323697.0,363494.0,313583.0,304113.0
